V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,class
0.993309,0.768297,0.804752,0.260279,0.770578,0.260266,0.265888,0.784648,0.471098,0.504276,0.328475,0.733059,0.466537,0.622176,0.300585,0.469915,0.7322,0.675682,0.604165,0.579065,0.555979,0.467627,0.669339,0.382425,0.565627,0.455406,0.415283,0.312217,0.000175,0
0.936207,0.762185,0.856674,0.171742,0.770588,0.255367,0.266858,0.784759,0.401351,0.514015,0.299726,0.700141,0.454812,0.654208,0.30277,0.421723,0.710382,0.7636,0.521031,0.576485,0.555669,0.470943,0.662797,0.316804,0.603009,0.580771,0.411936,0.316349,0.001631,0
0.936711,0.759609,0.871251,0.258827,0.771834,0.265816,0.264516,0.785793,0.483044,0.501411,0.214775,0.718658,0.532131,0.613912,0.35471,0.445741,0.720369,0.62803,0.577554,0.580484,0.560522,0.526649,0.673036,0.286013,0.554315,0.487518,0.415273,0.311866,0.000856,0
0.94065,0.765826,0.879936,0.223601,0.76907,0.258114,0.266293,0.784257,0.411702,0.512355,0.265262,0.708607,0.528605,0.632916,0.384869,0.40454,0.720383,0.700559,0.408843,0.577501,0.553994,0.467132,0.66533,0.382576,0.586641,0.309812,0.414915,0.310455,0.000508,0
0.960267,0.774888,0.808208,0.183215,0.786659,0.29541,0.267644,0.795237,0.457171,0.492041,0.293455,0.698226,0.415144,0.620761,0.347941,0.456226,0.74135,0.627531,0.532072,0.580819,0.556101,0.46776,0.667182,0.46208,0.554178,0.452247,0.421024,0.31457,0.000209,0
0.952276,0.780167,0.855478,0.304187,0.769519,0.257953,0.270144,0.784876,0.453128,0.491857,0.279555,0.62549,0.219501,0.601282,0.478837,0.454561,0.779846,0.71726,0.544001,0.579529,0.561283,0.514748,0.660516,0.362008,0.578076,0.394339,0.416079,0.311536,3.9e-05,0
0.959543,0.77847,0.809867,0.220427,0.781156,0.251095,0.275237,0.78017,0.430053,0.490187,0.226252,0.70787,0.553161,0.61889,0.315957,0.45145,0.735454,0.661444,0.556184,0.580747,0.565058,0.542383,0.662619,0.394866,0.54641,0.505053,0.419461,0.318508,0.000272,0
0.945044,0.754231,0.86409,0.150658,0.756847,0.277811,0.255024,0.797375,0.43001,0.511618,0.201003,0.67308,0.411028,0.616849,0.277223,0.405068,0.781855,0.579465,0.464851,0.575214,0.562316,0.538856,0.669078,0.238463,0.522351,0.397425,0.4197,0.314771,0.00218,0
0.993445,0.767726,0.806907,0.270083,0.768074,0.255033,0.265804,0.784033,0.487299,0.501585,0.236804,0.681227,0.343916,0.627231,0.367203,0.460249,0.748226,0.6394,0.564408,0.577595,0.555369,0.461098,0.670716,0.433919,0.560338,0.45573,0.415239,0.312421,7.7e-05,0
0.898166,0.730472,0.845188,0.346257,0.773558,0.251827,0.266749,0.785766,0.454949,0.517875,0.326558,0.691696,0.344396,0.671931,0.413001,0.45705,0.717196,0.73179,0.644375,0.587771,0.565588,0.522314,0.677181,0.377757,0.570929,0.38148,0.419537,0.329614,0.019462,0
0.782012,0.686443,0.759908,0.243258,0.761601,0.273448,0.274999,0.793696,0.410917,0.497011,0.321294,0.708049,0.48829,0.682448,0.36567,0.511553,0.7519,0.505515,0.569083,0.537418,0.548753,0.546924,0.661118,0.307314,0.650482,0.448335,0.428293,0.268775,0.011521,0
0.990056,0.766876,0.805514,0.298021,0.773763,0.271339,0.266989,0.787575,0.464076,0.515045,0.341958,0.736577,0.381232,0.676304,0.309205,0.408251,0.741488,0.561318,0.495014,0.576054,0.564016,0.543393,0.665835,0.190303,0.591321,0.361662,0.417002,0.311365,0.000584,0
0.983042,0.757119,0.843824,0.188341,0.758841,0.26208,0.258893,0.783808,0.432595,0.533009,0.380851,0.610304,0.683037,0.683539,0.276608,0.453084,0.748378,0.702809,0.582102,0.578132,0.552169,0.456026,0.666356,0.297563,0.588834,0.345452,0.416545,0.313356,0.002024,0
0.996273,0.758609,0.801301,0.197237,0.767977,0.262929,0.26326,0.783391,0.437963,0.52895,0.283986,0.706339,0.513146,0.643538,0.261901,0.48078,0.722377,0.61624,0.661721,0.581391,0.570336,0.586794,0.660933,0.351378,0.613591,0.474413,0.415521,0.311421,0.001304,0
0.946382,0.771093,0.867186,0.139819,0.764166,0.251448,0.269047,0.786174,0.500375,0.4684,0.273185,0.70228,0.332375,0.657594,0.407157,0.446607,0.716621,0.627113,0.441757,0.576247,0.561819,0.509683,0.665199,0.425113,0.564401,0.225636,0.419237,0.315942,0.000383,0
0.978809,0.753385,0.864488,0.253086,0.750876,0.264995,0.255965,0.788786,0.498132,0.514481,0.176614,0.688001,0.325144,0.614866,0.223673,0.388406,0.756339,0.715576,0.55609,0.574355,0.552619,0.473573,0.666429,0.436206,0.582143,0.601415,0.41668,0.313589,0.001557,0
0.979888,0.767234,0.817345,0.263531,0.780462,0.299269,0.262648,0.794505,0.468737,0.508383,0.253032,0.713086,0.431028,0.652461,0.324989,0.446114,0.716284,0.647986,0.591807,0.579765,0.558483,0.4877,0.663606,0.518287,0.628127,0.372164,0.416993,0.313363,0.000171,0
0.929201,0.784869,0.84611,0.21528,0.763004,0.268698,0.258636,0.75715,0.481524,0.49717,0.17257,0.72231,0.50887,0.641476,0.32191,0.467622,0.718719,0.683824,0.546478,0.572737,0.614719,0.504887,0.667425,0.298153,0.570485,0.534406,0.424312,0.316483,0.00058,0
0.979304,0.749485,0.854622,0.195176,0.753227,0.269433,0.25508,0.789054,0.421483,0.536798,0.323614,0.69371,0.436883,0.624906,0.292457,0.435124,0.750614,0.673062,0.559581,0.577897,0.559169,0.507853,0.665144,0.339307,0.585832,0.397757,0.417854,0.313698,0.003581,0
0.943883,0.764172,0.870277,0.173949,0.760474,0.262551,0.267329,0.788769,0.500788,0.474232,0.361581,0.74014,0.380001,0.648994,0.354106,0.436607,0.7232,0.683032,0.55225,0.581268,0.5662,0.544152,0.668434,0.408348,0.561052,0.282179,0.419597,0.316342,0.00506,0
0.951708,0.783088,0.833966,0.294106,0.765327,0.251001,0.269012,0.786727,0.447171,0.51331,0.238507,0.694551,0.396388,0.675661,0.390041,0.435753,0.732568,0.652446,0.593571,0.578825,0.564784,0.535158,0.666729,0.433415,0.5366,0.354074,0.417157,0.316462,0.000175,0
0.924872,0.774437,0.845481,0.253312,0.762112,0.283331,0.266598,0.800831,0.442907,0.488864,0.373915,0.751355,0.406261,0.673188,0.335859,0.412951,0.769963,0.526883,0.49344,0.577327,0.562484,0.521729,0.667115,0.250671,0.559096,0.481896,0.419075,0.310755,0.008182,0
0.945604,0.760491,0.830301,0.19162,0.778767,0.30774,0.266408,0.794599,0.516441,0.498556,0.255257,0.718042,0.422453,0.620869,0.310226,0.435926,0.716114,0.631549,0.562889,0.577019,0.555765,0.502202,0.674544,0.471902,0.562459,0.275961,0.420096,0.307256,0.005839,0
0.935287,0.783855,0.844591,0.249485,0.762134,0.259536,0.263617,0.797784,0.442624,0.498693,0.356034,0.71405,0.348006,0.66768,0.3769,0.467832,0.744051,0.663219,0.548555,0.579264,0.559083,0.480766,0.667343,0.371915,0.565849,0.441548,0.418616,0.313222,0.000394,0
0.990514,0.757966,0.837199,0.249251,0.759314,0.268458,0.257265,0.789896,0.523505,0.507827,0.297971,0.715266,0.369869,0.645463,0.380055,0.480514,0.700673,0.742641,0.56892,0.578557,0.565571,0.545339,0.668147,0.428837,0.552828,0.431515,0.416977,0.312464,0.001393,0
0.991131,0.765749,0.826395,0.293445,0.767568,0.27058,0.262599,0.787132,0.479511,0.514268,0.298705,0.762567,0.574453,0.639962,0.312676,0.474279,0.692275,0.687951,0.575523,0.579778,0.559056,0.4935,0.669074,0.35762,0.565055,0.270824,0.417496,0.312538,0.001168,0
0.968198,0.760449,0.83779,0.306745,0.762253,0.257107,0.269077,0.783935,0.451012,0.508853,0.36633,0.734044,0.41004,0.673556,0.355413,0.461198,0.713328,0.647698,0.571299,0.585384,0.557698,0.440007,0.664524,0.417317,0.583303,0.278079,0.415512,0.314611,0.012495,0
0.924922,0.778367,0.846802,0.214851,0.761666,0.249705,0.267712,0.791742,0.43976,0.489052,0.25355,0.721802,0.47371,0.668923,0.361007,0.471032,0.725993,0.589284,0.53908,0.578133,0.554325,0.432068,0.665621,0.435593,0.584038,0.49493,0.410609,0.308002,0.002176,0
0.880453,0.732962,0.837823,0.262619,0.790456,0.245483,0.264357,0.78427,0.464229,0.500588,0.317026,0.684345,0.339421,0.620695,0.327537,0.477562,0.731784,0.694558,0.64291,0.56007,0.545552,0.468832,0.691071,0.396693,0.640373,0.497379,0.421498,0.314914,7.7e-05,0
0.97861,0.76763,0.843267,0.26934,0.764318,0.262563,0.263982,0.787366,0.463708,0.510846,0.354274,0.713699,0.355137,0.670853,0.393799,0.461161,0.718626,0.638958,0.559061,0.578165,0.55799,0.477445,0.667373,0.334567,0.583989,0.44702,0.416022,0.313103,7.7e-05,0
0.946483,0.768389,0.823902,0.213557,0.785553,0.271217,0.271991,0.784163,0.498177,0.494274,0.376446,0.622326,0.510432,0.716728,0.243938,0.405139,0.75069,0.604262,0.501088,0.576045,0.563368,0.555399,0.659572,0.25432,0.560039,0.390089,0.416454,0.310901,0.002213,0
0.978949,0.768062,0.84516,0.277953,0.762716,0.257377,0.264547,0.785721,0.473213,0.507496,0.267869,0.686681,0.337696,0.66659,0.446477,0.452297,0.729744,0.599779,0.52708,0.577763,0.557452,0.474005,0.668196,0.384398,0.582778,0.446739,0.41607,0.313365,7.7e-05,0
0.930242,0.759144,0.832955,0.278007,0.790152,0.293864,0.261343,0.795303,0.456457,0.514287,0.250437,0.703723,0.438668,0.649926,0.357083,0.431459,0.726583,0.666537,0.682003,0.581505,0.558824,0.499304,0.660809,0.524714,0.584637,0.387088,0.42538,0.316405,0.003544,0
0.978502,0.766409,0.851777,0.29409,0.76359,0.271037,0.26139,0.788414,0.484684,0.50776,0.282376,0.743912,0.499066,0.634875,0.299506,0.468138,0.703492,0.704977,0.603437,0.579727,0.560179,0.508431,0.662926,0.2709,0.609156,0.36737,0.417807,0.31348,0.000421,0
0.977164,0.765028,0.813031,0.252799,0.780265,0.296465,0.263951,0.793312,0.457101,0.509324,0.275735,0.705425,0.447899,0.664455,0.4198,0.46165,0.704276,0.674602,0.560984,0.58219,0.562025,0.499421,0.662146,0.518201,0.62348,0.372641,0.41647,0.313745,0.003978,0
